出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1131117,11310,2484,希華,電子零組件業,190838,203592,184873,-6.264489764,3.2265392999518587,1848226,1971171,-6.237155478,-
1131117,11310,2485,兆赫,通信網路業,92265,90854,463393,1.5530411429326172,-80.08925469,2324425,5021465,-53.71022202,客戶端因產品驗證而調整出貨時程
1131117,11310,2486,一詮,光電業,515631,501805,473828,2.755253535,8.822399689338747,4489267,4100671,9.476400325702793,-
1131117,11310,2488,漢平,其他電子業,323695,336832,219171,-3.90016388,47.690616,2449635,2044434,19.81971538332859,-
1131117,11310,2489,瑞軒,光電業,1881900,2461537,1648132,-23.54776711,14.183815374011305,19535349,13752971,42.04457349615585,-
1131117,11310,2491,吉祥全,光電業,17154,18195,18544,-5.72135202,-7.495685936,167327,156486,6.927776286696574,-
1131117,11310,2492,華新科,電子零組件業,2772231,3182121,2725831,-12.88103124,1.7022331905389585,29178108,27447963,6.303363933,-
1131117,11310,2493,揚博,電子零組件業,298272,343822,274712,-13.24813421,8.576254405,3032387,2758696,9.921027905938168,-
1131117,11310,2495,普安,電腦及週邊設備業,100628,82521,133515,21.94229347681196,-24.63168932,1076256,1170315,-8.037066944,-
1131117,11310,2496,卓越,其他,74840,74166,69383,0.9087722136828196,7.865038986495251,689853,626920,10.038441906463344,-
1131117,11310,2497,怡利電,汽車工業,430382,444427,333744,-3.16024904,28.955726544896688,3750691,3023511,24.050846846596556,-
1131117,11310,2498,宏達電,通信網路業,223407,337794,215940,-33.86294606,3.457904973603779,2358770,3434414,-31.31957883,-
1131117,11310,2501,國建,建材營造,1082091,1081604,636342,0.045025721,70.04865308277624,15569078,10081591,54.43076395382435,本年交屋入帳及工程收入增加
1131117,11310,2504,國產,建材營造,1789462,1755131,1846124,1.956036330051717,-3.069241286,17810315,17198862,3.555194523916757,-
1131117,11310,2505,國揚,建材營造,68568,71832,70186,-4.54393585,-2.305303052,541432,504860,7.243988432436715,"本年度營建收入534,309仟元，租賃收入7,123仟元。"
1131117,11310,2506,太設,建材營造,67410,157094,145672,-57.08938597,-53.72480641,1311273,891599,47.069815017737795,本月交屋較去年同期少
1131117,11310,2509,全坤建,建材營造,21764,66352,19823,-67.19918013,9.791656156989356,1376978,185727,641.3989349959887,"本月營收及累計營收較去年同期增加,主要係完工認列全坤家宜案售屋收入所致."
1131117,11310,2511,太子,建材營造,527381,623480,632213,-15.41332521,-16.5817533,6377896,6898728,-7.549681622,-
1131117,11310,2514,龍邦,其他,1852921,2724461,1958164,-31.98944672,-5.374575368,21282909,13603576,56.45084057309637,因本年度完成土地出售交易、子公司營建收入成長及合併泰山(1218)，致營收較去年增加。
1131117,11310,2515,中工,建材營造,1909355,2186725,1558967,-12.68426528,22.47565214658168,18396218,15371121,19.680392861392477,-
1131117,11310,2516,新建,建材營造,802959,791013,825305,1.5102153820480826,-2.707605067,7411345,6969393,6.3413269993527415,-
1131117,11310,2520,冠德,建材營造,2941112,2342031,1926035,25.579550398777812,52.70293634331671,25101708,15829581,58.57468368872177,營業收入113年10月份及113年1-10月累計數分別較去年同期增加50%以上，主因係建設部門本期有101A建案交屋入帳所致。
1131117,11310,2524,京城,建材營造,2539507,535652,107491,374.0964282780611,2262.5298862230325,5979508,1874598,218.9754816766048,"本月因高雄市前金區成功段土地銷售入帳, 致使本月及本年成長百分比變動比率較大。"
